arc,times,Primitive,Subject type,Subproperty of,Object Type,Activity,Others,Note
<http://purl.org/dj/difference>,29,,,,,,,
<http://purl.org/dj/shape>,29,,,,,,,
<http://purl.org/dj/preprocess>,29,,,,,,,
<http://purl.org/dj/pop>,29,,,,,,,
<http://purl.org/dj/set_params>,29,,,,,,,
<http://purl.org/dj/cost_function>,29,,,,,,,
<http://purl.org/dj/one_hot_encoder>,28,,,,,,,
<http://purl.org/dj/set_major_formatter>,28,,,,,,,
<http://purl.org/dj/cv_rmse>,28,,,,,,,
<http://purl.org/dj/lag_feature>,28,,,,,,,
<http://purl.org/dj/timeseries_train_test_split>,28,,,,,,,
<http://purl.org/dj/detach>,28,,,,,,,
<http://purl.org/dj/prepare>,28,,,,,,,
<http://purl.org/dj/average>,28,,,,,,,
<http://purl.org/dj/Counter>,28,,,,,,,
<http://purl.org/dj/augment>,28,,,,,,,
<http://purl.org/dj/multiply>,27,,,,,,,
<http://purl.org/dj/log_loss>,27,,,,,,,
<http://purl.org/dj/create_map>,27,,,,,,,
<http://purl.org/dj/gradient_descent>,27,,,,,,,
<http://purl.org/dj/BitAnd>,27,,,,,,,
<http://purl.org/dj/logistic>,27,,,,,,,
<http://purl.org/dj/compress_dataframe>,27,,,,,,,
<http://purl.org/dj/Table>,27,,,,,,,
<http://purl.org/dj/axvline>,27,,,,,,,
<http://purl.org/dj/spectrogram>,27,,,,,,,
<http://purl.org/dj/aggregate>,27,,,,,,,
<http://purl.org/dj/log_specgram>,27,,,,,,,
<http://purl.org/dj/colorbar>,26,,,,,,,
<http://purl.org/dj/mad>,26,,,,,,,
<http://purl.org/dj/get_trace>,26,,,,,,,
<http://purl.org/dj/despine>,26,,,,,,,
<http://purl.org/dj/logical_and>,26,,,,,,,
<http://purl.org/dj/from_names_and_array>,26,,,,,,,
<http://purl.org/dj/metric>,26,,,,,,,
<http://purl.org/dj/LSTM>,26,,,,,,,
<http://purl.org/dj/tokenize>,26,,,,,,,
<http://purl.org/dj/img_to_array>,26,,,,,,,
